id,age,years_remain,remain_war,name
17806,25,6,10.711365197086044,Braden Bishop
17807,25,6,8.686212569534039,Drew Jackson
17838,24,6,9.94034527750952,Willie Calhoun
17901,24,4,21.64136092034737,Andrew Benintendi
17907,22,6,3.2734420503083874,Brendan Rodgers
17919,24,5,8.149858166487293,Ian Happ
17922,23,6,13.767139235362768,Isan Diaz
17929,24,6,18.684010972703042,Cedric Mullins
17929,24,6,18.684010972703042,Cedric Mullins II
17932,25,6,10.203509537490623,Andrew Stevenson
17954,25,6,3.435069613263829,Sam Hilliard
17975,25,5,13.161054373909549,Scott Kingery
17982,24,6,8.828032187581638,Ty France
17992,25,6,18.96886833240072,David Fletcher
18015,25,5,11.907657232937835,Paul DeJong
18030,25,5,3.913199176924796,Harrison Bader
18042,26,6,9.077245212802817,Dylan Moore
18063,27,6,3.6901305601778356,Kyle Garlick
18067,26,6,5.626883891526612,Garrett Stubbs
18083,25,6,12.693862751470666,Austin Allen
18126,25,6,17.416103564772087,LaMonte Wade Jr
18126,25,6,17.416103564772087,LaMonte Wade
18146,27,6,9.444373642392264,Kevin Kaczmarski
18171,26,6,10.704978141270223,Seth Brown
18206,25,6,12.476545377729838,Nick Dini
18288,25,6,6.005134128403815,Austin Dean
18289,26,5,14.836712462698534,Brian Anderson
18314,25,4,9.492600742796771,Dansby Swanson
18316,25,6,13.76559446785638,Edwin Rios
18345,22,6,19.89259817771028,Kyle Tucker
18360,22,6,6.434952646196849,Austin Riley
18363,22,6,17.796903341089862,Victor Robles
18401,21,6,32.10929082215121,Ronald Acuna Jr.
18564,22,6,7.884433559345966,Trent Grisham
18568,22,6,9.978736129471361,Luis Arraez
18607,25,6,10.14261226740734,Jared Walsh
18721,28,4,4.624639909859025,Guillermo Heredia
18839,22,6,10.984308541215901,Josh Naylor
18882,24,6,20.97728938772752,Brandon Lowe
18887,25,6,2.9128072412996766,Seby Zavala
18889,25,6,10.580888048399794,Danny Mendick
19181,24,6,5.048160519326648,Zack Collins
19197,24,6,8.769612818154934,Will Smith
19198,35,5,7.495454285757671,Yuli Gurriel
19238,25,6,9.882269724543795,Lourdes Gurriel Jr.
19251,24,6,16.709166900050267,Pete Alonso
19251,24,6,16.709166900050267,Peter Alonso
19252,24,6,11.258215761071718,Cavan Biggio
19262,24,6,29.855080063230726,Garrett Hampson
19290,24,6,7.889851585698699,Randy Arozarena
19293,24,6,13.334543076404193,Nick Senzel
19294,24,6,20.712143210938812,Nick Solak
19314,25,6,11.356301416448265,Donovan Walton
19318,24,6,10.340508571027238,Matt Thaiss
19326,24,6,8.703606363357407,Bryan Reynolds
19339,24,6,23.183927576098082,Nicky Lopez
19352,24,6,6.551771645753532,Sean Murphy
19363,23,6,26.770129679923805,Austin Hays
19452,24,6,4.691158379711454,Jake Rogers
19470,24,6,11.337032080447473,Tommy Edman
19508,23,6,5.9145217678068285,Kyle Lewis
19514,24,6,11.80072059568687,Andrew Knizner
19552,24,6,10.856443029919344,Jaylin Davis
19556,22,6,16.588049195215675,Yordan Alvarez
19566,23,6,6.904329983489975,Nate Lowe
19566,23,6,6.904329983489975,Nathaniel Lowe
19611,20,6,22.437986091286668,Vladimir Guerrero Jr.
19612,21,6,33.2874150243976,Bo Bichette
19635,24,6,5.576335572763662,Sheldon Neuse
19683,25,6,8.210409890911091,Michael Brosseau
19703,25,6,9.637869210496413,Jake Noll
19709,20,6,19.112251908010084,Fernando Tatis Jr.
19734,25,6,20.227071212631955,Josh Rojas
19755,24,5,16.193442298344763,Shohei Ohtani
19844,22,6,28.371972530639667,Abraham Toro
19858,22,6,20.076377680858638,Luis Rengifo
19878,23,6,11.56126061267885,Adam Haseley
19955,21,6,14.744189363552476,Gavin Lux
19958,21,6,4.617138701151873,Carter Kieboom
20003,22,6,16.884207478297785,Keston Hiura
20123,20,6,53.484164308705225,Juan Soto
2136,31,2,4.500351805823197,David Peralta
2151,36,0,0.2597887396367733,Edwin Encarnacion
2396,33,3,6.165348978774051,Carlos Santana
2396,33,1,2.5960552186795103,Carlos Santana
2434,38,0,-1.353510013313546,Nelson Cruz
2502,33,0,0.49977726055060157,Lucas Duda
2530,32,0,1.1515394387003561,Yonder Alonso
2616,33,0,0.8335616457337263,Zack Cozart
2829,32,3,0.956799862531603,Manny Pina
2900,30,2,2.7215911772373036,Roberto Perez
2967,31,3,10.086429570380853,Tommy Pham
3086,33,1,0.35389962408010195,Mitch Moreland
3142,35,0,-0.46034528955811205,Robinson Chirinos
3174,36,0,-0.13075036530707948,Shin-Soo Choo
3256,32,0,-0.5269646105272987,Welington Castillo
3269,36,5,9.00192209087769,Robinson Cano
3298,30,3,1.358915783864511,Charlie Culberson
3312,35,1,1.086211457829299,Martin Prado
3353,34,0,1.0107197261768117,Matt Joyce
3376,35,0,-2.715361503494378,Nick Hundley
3410,35,3,6.227705545651579,Ryan Braun
3448,36,0,-0.19850756475358589,Jeff Mathis
3473,29,3,9.676387240423914,Anthony Rizzo
3516,29,7,22.384031863441905,Eric Hosmer
3711,32,3,6.650788024423083,Eric Thames
3892,32,0,0.7059324997350442,Josh Reddick
4022,34,0,0.616152086070028,Melky Cabrera
4062,33,3,3.4712623539097724,Dexter Fowler
4106,32,0,2.284934798894779,Michael Brantley
4146,31,3,2.128631369914147,Gorkys Hernandez
